,Months,State/UnionTerritory,Confirmed
256,2020-10,Jammu and Kashmir,2657541
257,2020-10,Jharkhand,2915891
258,2020-10,Karnataka,22638497
259,2020-10,Kerala,9763929
260,2020-10,Ladakh,164948
261,2020-10,Madhya Pradesh,4737059
262,2020-10,Maharashtra,48150932
263,2020-10,Manipur,451725
264,2020-10,Meghalaya,245694
265,2020-10,Mizoram,70950
266,2020-10,Nagaland,233935
267,2020-10,Odisha,8028959
268,2020-10,Puducherry,992159
269,2020-10,Punjab,3884110
270,2020-10,Rajasthan,5160860
271,2020-10,Sikkim,108197
272,2020-10,Tamil Nadu,20738004
273,2020-10,Telengana,6757114
274,2020-10,Tripura,895344
275,2020-10,Uttar Pradesh,13782962
276,2020-10,Uttarakhand,1742237
277,2020-10,West Bengal,9643839
278,2020-11,Andaman and Nicobar Islands,136011
279,2020-11,Andhra Pradesh,25514128
280,2020-11,Arunachal Pradesh,471321
281,2020-11,Assam,6299637
282,2020-11,Bihar,6762905
283,2020-11,Chandigarh,474722
284,2020-11,Chhattisgarh,6337321
285,2020-11,Dadra and Nagar Haveli and Daman and Diu,98782
286,2020-11,Delhi,14388393
287,2020-11,Goa,1375118
288,2020-11,Gujarat,5660022
289,2020-11,Haryana,5973373
290,2020-11,Himachal Pradesh,895407
291,2020-11,Jammu and Kashmir,3069683
292,2020-11,Jharkhand,3173556
293,2020-11,Karnataka,25740356
294,2020-11,Kerala,15591120
295,2020-11,Ladakh,220551
296,2020-11,Madhya Pradesh,5552645
297,2020-11,Maharashtra,52401197
298,2020-11,Manipur,652115
299,2020-11,Meghalaya,319811
300,2020-11,Mizoram,100797
301,2020-11,Nagaland,300898
302,2020-11,Odisha,9202221
303,2020-11,Puducherry,1085439
304,2020-11,Punjab,4251349
305,2020-11,Rajasthan,6816536
306,2020-11,Sikkim,133622
307,2020-11,Tamil Nadu,22662530
308,2020-11,Telengana,7704031
309,2020-11,Tripura,957673
310,2020-11,Uttar Pradesh,15327991
311,2020-11,Uttarakhand,2042936
312,2020-11,West Bengal,12862215
313,2020-12,Andaman and Nicobar Islands,149755
314,2020-12,Andhra Pradesh,27154143
315,2020-12,Arunachal Pradesh,512665
316,2020-12,Assam,6657671
317,2020-12,Bihar,7540194
318,2020-12,Chandigarh,579205
319,2020-12,Chhattisgarh,8044501
320,2020-12,Dadra and Nagar Haveli and Daman and Diu,104066
321,2020-12,Delhi,18789163
322,2020-12,Goa,1536156
323,2020-12,Gujarat,7097154
324,2020-12,Haryana,7809674
325,2020-12,Himachal Pradesh,1530320
326,2020-12,Jammu and Kashmir,3603650
327,2020-12,Jharkhand,3472129
328,2020-12,Karnataka,27994899
329,2020-12,Kerala,21071257
330,2020-12,Ladakh,282403
331,2020-12,Lakshadweep,0
332,2020-12,Madhya Pradesh,6974358
333,2020-12,Maharashtra,58306196
334,2020-12,Manipur,837188
335,2020-12,Meghalaya,397526
336,2020-12,Mizoram,125723
337,2020-12,Nagaland,361522
338,2020-12,Odisha,10054358
339,2020-12,Puducherry,1164162
340,2020-12,Punjab,4969915
341,2020-12,Rajasthan,9042995
342,2020-12,Sikkim,168048
343,2020-12,Tamil Nadu,24819908
344,2020-12,Telengana,8646516
345,2020-12,Tripura,1024869
346,2020-12,Uttar Pradesh,17564562
347,2020-12,Uttarakhand,2579458
348,2020-12,West Bengal,16211044
349,2021-01,Andaman and Nicobar Islands,154187
350,2021-01,Andhra Pradesh,27448884
351,2021-01,Arunachal Pradesh,520415
352,2021-01,Assam,6718515
353,2021-01,Bihar,7952001
354,2021-01,Chandigarh,632798
355,2021-01,Chhattisgarh,9047658
356,2021-01,Dadra and Nagar Haveli and Daman and Diu,104994
357,2021-01,Delhi,19566622
358,2021-01,Goa,1619005
359,2021-01,Gujarat,7880572
360,2021-01,Haryana,8233403
361,2021-01,Himachal Pradesh,1756015
362,2021-01,Jammu and Kashmir,3813238
363,2021-01,Jharkhand,3633956
364,2021-01,Karnataka,28833752
365,2021-01,Kerala,26008754
366,2021-01,Ladakh,298640
367,2021-01,Lakshadweep,702
368,2021-01,Madhya Pradesh,7747005
369,2021-01,Maharashtra,61433195
370,2021-01,Manipur,890695
371,2021-01,Meghalaya,422833
372,2021-01,Mizoram,133505
373,2021-01,Nagaland,372584
374,2021-01,Odisha,10312437
375,2021-01,Puducherry,1196248
376,2021-01,Punjab,5263530
377,2021-01,Rajasthan,9733025
378,2021-01,Sikkim,186334
379,2021-01,Tamil Nadu,25697977
380,2021-01,Telengana,9024439
381,2021-01,Tripura,1032922
382,2021-01,Uttar Pradesh,18433015
383,2021-01,Uttarakhand,2918219
384,2021-01,West Bengal,17447673
385,2021-02,Andaman and Nicobar Islands,140209
386,2021-02,Andhra Pradesh,24886770
387,2021-02,Arunachal Pradesh,471312
388,2021-02,Assam,6084562
389,2021-02,Bihar,7317092
390,2021-02,Chandigarh,595366
391,2021-02,Chhattisgarh,8653333
392,2021-02,Dadra and Nagar Haveli and Daman and Diu,95209
393,2021-02,Delhi,17833650
394,2021-02,Goa,1517445
395,2021-02,Gujarat,7425825
396,2021-02,Haryana,7533997
397,2021-02,Himachal Pradesh,1626357
398,2021-02,Jammu and Kashmir,3509838
399,2021-02,Jharkhand,3340227
400,2021-02,Karnataka,26460582
401,2021-02,Kerala,27930632
402,2021-02,Ladakh,273521
403,2021-02,Lakshadweep,6125
404,2021-02,Madhya Pradesh,7215130
405,2021-02,Maharashtra,57992941
406,2021-02,Manipur,816952
407,2021-02,Meghalaya,389242
408,2021-02,Mizoram,123070
409,2021-02,Nagaland,340686
410,2021-02,Odisha,9410919
411,2021-02,Puducherry,1103823
412,2021-02,Punjab,4937795
413,2021-02,Rajasthan,8927168
414,2021-02,Sikkim,171269
415,2021-02,Tamil Nadu,23654321
416,2021-02,Telengana,8318653
417,2021-02,Tripura,934322
418,2021-02,Uttar Pradesh,16856451
419,2021-02,Uttarakhand,2708370
420,2021-02,West Bengal,16028639
421,2021-03,Andaman and Nicobar Islands,156054
422,2021-03,Andhra Pradesh,27683851
423,2021-03,Arunachal Pradesh,522062
424,2021-03,Assam,6752851
425,2021-03,Bihar,8162785
426,2021-03,Chandigarh,732740
427,2021-03,Chhattisgarh,9978661
428,2021-03,Dadra and Nagar Haveli and Daman and Diu,107498
429,2021-03,Delhi,20018150
430,2021-03,Goa,1740813
431,2021-03,Gujarat,8751427
432,2021-03,Haryana,8597327
433,2021-03,Himachal Pradesh,1866660
434,2021-03,Jammu and Kashmir,3967681
435,2021-03,Jharkhand,3751771
436,2021-03,Karnataka,29905747
437,2021-03,Kerala,33851133
438,2021-03,Ladakh,306398
439,2021-03,Lakshadweep,18126
440,2021-03,Madhya Pradesh,8438313
441,2021-03,Maharashtra,73873249
442,2021-03,Manipur,908998
443,2021-03,Meghalaya,433914
444,2021-03,Mizoram,137720
445,2021-03,Nagaland,378826
446,2021-03,Odisha,10492824
447,2021-03,Puducherry,1247196
448,2021-03,Punjab,6306741
449,2021-03,Rajasthan,10052697
450,2021-03,Sikkim,191830
451,2021-03,Tamil Nadu,26753641
452,2021-03,Telengana,9369918
453,2021-03,Tripura,1036908
454,2021-03,Uttar Pradesh,18813974
455,2021-03,Uttarakhand,3041818
456,2021-03,West Bengal,17955314
457,2021-04,Andaman and Nicobar Islands,160355
458,2021-04,Andhra Pradesh,28789899
459,2021-04,Arunachal Pradesh,514052
460,2021-04,Assam,6787622
461,2021-04,Bihar,9684247
462,2021-04,Chandigarh,990744
463,2021-04,Chhattisgarh,15169122
464,2021-04,Dadra and Nagar Haveli and Daman and Diu,146640
465,2021-04,Delhi,24791210
466,2021-04,Goa,2013208
467,2021-04,Gujarat,11850328
468,2021-04,Haryana,10553176
469,2021-04,Himachal Pradesh,2260060
470,2021-04,Jammu and Kashmir,4361926
471,2021-04,Jharkhand,4783396
472,2021-04,Karnataka,34558639
473,2021-04,Kerala,37304263
474,2021-04,Ladakh,350354
475,2021-04,Lakshadweep,37157
476,2021-04,Madhya Pradesh,11735648
477,2021-04,Maharashtra,109094556
478,2021-04,Manipur,894579
479,2021-04,Meghalaya,450080
480,2021-04,Mizoram,147404
481,2021-04,Nagaland,379653
482,2021-04,Odisha,11065818
483,2021-04,Puducherry,1411700
484,2021-04,Punjab,8747614
485,2021-04,Rajasthan,12373540
486,2021-04,Sikkim,200004
487,2021-04,Tamil Nadu,29399621
488,2021-04,Telengana,10569448
489,2021-04,Tripura,1020774
490,2021-04,Uttar Pradesh,24662605
491,2021-04,Uttarakhand,3694208
492,2021-04,West Bengal,19707021
493,2021-05,Andaman and Nicobar Islands,203089
494,2021-05,Andhra Pradesh,43643785
495,2021-05,Arunachal Pradesh,683563
496,2021-05,Assam,10132122
497,2021-05,Bihar,19342221
498,2021-05,Chandigarh,1653653
499,2021-05,Chhattisgarh,27446200
500,2021-05,Dadra and Nagar Haveli and Daman and Diu,286704
501,2021-05,Delhi,41819338
502,2021-05,Goa,4001889
503,2021-05,Gujarat,22357973
504,2021-05,Haryana,20453416
505,2021-05,Himachal Pradesh,4689771
506,2021-05,Jammu and Kashmir,7369652
507,2021-05,Jharkhand,9355166
508,2021-05,Karnataka,65848708
509,2021-05,Kerala,64564444
510,2021-05,Ladakh,504019
511,2021-05,Lakshadweep,155947
512,2021-05,Madhya Pradesh,21815930
513,2021-05,Maharashtra,163559278
514,2021-05,Manipur,1220516
515,2021-05,Meghalaya,752137
516,2021-05,Mizoram,274985
517,2021-05,Nagaland,551541
518,2021-05,Odisha,18634152
519,2021-05,Puducherry,2541898
520,2021-05,Punjab,14923354
521,2021-05,Rajasthan,25283841
522,2021-05,Sikkim,348556
523,2021-05,Tamil Nadu,49154426
